Reference	Year	DOI	PMID	Category	File Address
"Mutant analysis of the Shal (Kv4) voltage-gated fast transient K+ channel in Caenorhabditis elegans. (Fawcett GL; Santi CM; Butler A; Harris T; Covarrubias M; Salkoff L. J. Biol. Chem., 281(41):30725-35)"	2006	10.1074/jbc.M605814200	16899454	Electrophysiology	http://www.jbc.org/content/281/41/30725.full.html
"Dissection of K+ currents in Caenorhabditis elegans muscle cells by genetics and RNA interference. (Santi CM; Yuan A; Fawcett G; Wang ZW; Butler A; Nonet ML; Wei A; Rojas P; Salkoff L. Proc. Natl. Acad. Sci. U.S.A., 100(24):14391-6)"	2003	10.1073/pnas.1935976100	14612577	Electrophysiology	http://www.pnas.org/content/100/24/14391.full.pdf
"Genetic dissection of ion currents underlying all-or-none action potentials in C. elegans body-wall muscle cells. (Liu P; Ge Q; Chen B; Salkoff L; Kotlikoff MI; Wang ZW. J. Physiol. (Lond.), 589(Pt 1):101-17)"	2011	10.1113/jphysiol.2010.200683	21059759	Electrophysiology	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039263/
"A-type potassium channels expressed from Shaker locus cDNA. (Iverson LE; Tanouye MA; Lester HA; Davidson N; Rudy B. Proc. Natl. Acad. Sci. U.S.A., 85(15):5723-7)"	1988		2456579	Electrophysiology	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC281833/pdf/pnas00294-0387.pdf
"Four cDNA clones from the Shaker locus of Drosophila induce kinetically distinct A-type potassium currents in Xenopus oocytes. (Timpe LC; Jan YN; Jan LY. Neuron, 1(8):659-67)"	1988	10.1016/0896-6273(88)90165-1	3272184	Electrophysiology	
"Multiple products of the Drosophila Shaker gene may contribute to potassium channel diversity. (Kamb A; Tseng-Crank J; Tanouye MA. Neuron, 1(5):421-30)"	1988	10.1016/0896-6273(88)90192-4	3272175	Genomics	
"Expression of functional potassium channels from Shaker cDNA in Xenopus oocytes. (Timpe LC; Schwarz TL; Tempel BL; Papazian DM; Jan YN; Jan LY. Nature, 331(6152):143-5)"	1988	10.1038/331143a0	2448636	Electrophysiology	
"Multiple potassium-channel components are produced by alternative splicing at the Shaker locus in Drosophila. (Schwarz TL; Tempel BL; Papazian DM; Jan YN; Jan LY. Nature, 331(6152):137-42)"	1988	10.1038/331137a0	2448635	Genomics	
"Expression of a cloned rat brain potassium channel in Xenopus oocytes. (Christie MJ; Adelman JP; Douglass J; North RA. Science, 244(4901):221-4)"	1989	10.1126/science.2539643	2539643	Electrophysiology	
"Molecular basis of functional diversity of voltage-gated potassium channels in mammalian brain. (StÌ_hmer W; Ruppersberg JP; SchrÌ¦ter KH; Sakmann B; Stocker M; Giese KP; Perschke A; Baumann A; Pongs O. EMBO J., 8(11):3235-44)"	1989		2555158	Electrophysiology	
"Phosphorylation by protein kinase A of RCK1 K+ channels expressed in Xenopus oocytes. (Ivanina T; Perets T; Thornhill WB; Levin G; Dascal N; Lotan I. Biochemistry, 33(29):8786-92)"	1994	10.1021/bi00195a021	8038169	Electrophysiology	
"The potassium channel MBK1 (Kv1.1) is expressed in the mouse retina. (Klumpp DJ; Farber DB; Bowes C; Song EJ; Pinto LH. Cell. Mol. Neurobiol., 11(6):611-22)"	1991	10.1007/BF00741449	1723658	Electrophysiology	
"Interaction of syntaxin with a single Kv1.1 channel: a possible mechanism for modulating neuronal excitability. (Michaelevski I; Korngreen A; Lotan I. Pflugers Arch., 454(3):477-94)"	2007	10.1007/s00424-007-0223-5	17401576	Electrophysiology	
"Properties of voltage-gated K+ currents expressed in Xenopus oocytes by mKv1.1, mKv1.2 and their heteromultimers as revealed by mutagenesis of the dendrotoxin-binding site in mKv1.1. (Hopkins WF; Allen ML; Houamed KM; Tempel BL. Pflugers Arch., 428(3-4):382-90)"	1994		7816560	Electrophysiology	
"Human potassium channel genes: Molecular cloning and functional expression. (Ramaswami M; Gautam M; Kamb A; Rudy B; Tanouye MA; Mathew MK. Mol. Cell. Neurosci., 1(3):214-23)"	1990	10.1016/1044-7431(90)90004-N	19912772	Electrophysiology	
"Primary sensory neurons express a Shaker-like potassium channel gene. (Ribera AB; Nguyen DA. J. Neurosci., 13(11):4988-96)"	1993		8229210	Electrophysiology	http://www.jneurosci.org/content/13/11/4988.long
"Alternative splicing in the pore-forming region of shaker potassium channels. (Kim M; Baro DJ; Lanning CC; Doshi M; Farnham J; Moskowitz HS; Peck JH; Olivera BM; Harris-Warrick RM. J. Neurosci., 17(21):8213-24)"	1997		9334397	Electrophysiology	http://www.jneurosci.org/content/17/21/8213.long
"Cloning and expression of an Aplysia K+ channel and comparison with native Aplysia K+ currents. (Pfaffinger PJ; Furukawa Y; Zhao B; Dugan D; Kandel ER. J. Neurosci., 11(4):918-27)"	1991		2010814	Electrophysiology	http://www.jneurosci.org/content/11/4/918.long
"Cloning and functional expression of a Shaker-related voltage-gated potassium channel gene from Schistosoma mansoni (Trematoda: Digenea). (Kim E; Day TA; Bennett JL; Pax RA. Parasitology, 110 ( Pt 2):171-80)"	1995	10.1017/S0031182000063939	7533899	Electrophysiology	
"Multiple Shaker potassium channels in a primitive metazoan. (Jegla T; Grigoriev N; Gallin WJ; Salkoff L; Spencer AN. J. Neurosci., 15(12):7989-99)"	1995		8613736	Electrophysiology	http://www.jneurosci.org/content/15/12/7989.long
