ID	Channel Name	Description	Channel Type	Gene Name	Gene ID in Wormbase	Proteins	
1	EGL-19	"egl-19 encodes the pore-forming alpha1 subunit of a voltage-gated calcium channel orthologous to the alpha subunit of mammalian L-type calcium ion channels; EGL-19 carries L-type currents in pharyngeal and body wall muscle, and its activity is essential and required for muscle contraction during late embryonic morphogenesis, locomotion, egg laying, mating and feeding; recordings of voltage-dependent calcium currents indicate that EGL-19 is the sole C. elegans alpha1 voltage-gated calcium channel subunit to carry currents in body wall muscle and that these currents are regulated by the CCB-1 beta subunit and the UNC-36 alpha2/delta subunit; egl-19 is expressed in muscle cells and some neurons."	"Calcium Channel; Voltage-gated, alpha1, HVA: L-type"	egl-19	WBGene00001187	"EGL-19, isoform a; EGL-19, isoform b; EGL-19, isoform c;"	
2	CLH-2	"clh-2 encodes a chloride channel protein that is required for embryonic viability; may have two transcripts transcribed from alternative promoters, and the two transcripts might be expressed in different cell types."	Chloride Channel; CLC-type	clh-2	WBGene00000529	"CLH-2, isoform a; CLH-2, isoform b; CLH-2, isoform c;"	
3	SLO-1	"slo-1 encodes a voltage- and calcium-activated potassium (BK) channel; SLO-1 activity is required for muscle inactivation: mutants have wild-type levels of motor activity, but have less smooth movement and tend to stop and reverse direction; SLO-1 is expressed in neurons and in body wall and vulval muscle; SLO-1 localization in proximity to the EGL-19 L-type calcium channel in muscle membrane is mediated by the dystrophin-associated protein complex (DAPC) and the ISLO-1 adapter protein with which SLO-1 physically interacts and also colocalizes with in muscle membrane."	Potassium Channel; Calcium-activated Slo	slo-1	WBGene00004830	"SLO-1, isoform a; SLO-1, isoform b; SLO-1, isoform c; SLO-1, isoform d; SLO-1, isoform e; SLO-1, isoform f; SLO-1, isoform g; SLO-1, isoform i; SLO-1, isoform k; SLO-1, isoform l;"	
4	SLO-2	"slo-2 encodes a high conductance, sodium-activated potassium channel; when expressed in Xenopus oocytes, SLO-2 exhibits a synergistic dependence on both chloride and calcium ions for activation; expression of a dominant negative SLO-2 mutant can interfere with activity of SLO-1, a second high conductance potassium channel, suggesting that the two channels can form functional heteromultimers; a SLO-2::GFP fusion protein is expressed in body wall, vulval, and pharyngeal/intestinal valve muscles, nerve ring processes, and some motor neurons in the ventral nerve cord; SLO-2 expression largely overlaps with that of SLO-1."	Potassium Channel; Calcium-activated Slo	slo-2	WBGene00004831	"SLO-2, isoform a; SLO-2, isoform b; SLO-2, isoform c; SLO-2, isoform d; SLO-2, isoform e; SLO-2, isoform f; SLO-2, isoform g; SLO-2, isoform h;"	 View Detail Edit Delete
5	UNC-36	"unc-36 encodes an alpha2/delta subunit of a voltage-gated calcium channel; unc-36 is required for normal locomotion and proper intracellular trafficking, presynaptic localization and functional maturation of the UNC-2 alpha1 subunit of a C. elegans CaV2 channel in sensory and motor neurons; unc-36 also functions in a calcium-dependent pathway that establishes left-right asymmetry in the nervous system during development; recordings of voltage-dependent calcium currents indicate that UNC-36 regulates voltage dependence, kinetics, and conductance of the EGL-19 alpha1 subunit of the body wall muscle voltage-dependent calcium channel; unc-36 is expressed in muscle cells and motor neurons; an UNC-36::GFP localizes to the endoplasmic reticulum and the plasma membrane."	"Calcium Channel; Voltage-gated, alpha2/delta"	unc-36	WBGene00006772	"UNC-36, isoform a; UNC-36, isoform b; UNC-36, isoform c;"	 View Detail Edit Delete
6	LGC-46	None	Ligand-Gated Ion Channel; ACC	lgc-46	WBGene00022106	LGC-46;	 View Detail Edit Delete
7	SHL-1	"shl-1 encodes a SHAL/Kv4 ortholog, which encodes voltage-gated potassium channels expressed in muscle; mutations in shl-1 result in loss of all fast transient outward current from muscle cells and, in males, reduced mating efficiency owing to difficulty in locating the hermaphrodite vulva; when expressed in Xenopus oocytes or cultured myocytes, SHL-1 exhibits currents; an SHL-1::GFP reporter fusion is expressed in posterior intestine, body wall muscle, vulval muscle, male-specific diagonal muscles, and a number of motor neurons, interneurons, and sensory neurons."	Potassium Channel; Voltage-gated: Shal/Kv4	shl-1	WBGene00022240	SHL-1;	 View Detail Edit Delete
8	SUP-9	"sup-9 encodes one of 44 C. elegans TWK (two-P domain K+) potassium channel subunits that contain two pore-forming domains and four transmembrane domains; sup-9 was originally defined by gain-of-function mutations that result in defects in pharyngeal, body-wall, egg-laying, and enteric muscle activation; loss of sup-9 function via reversion or RNA-mediated interference (RNAi) does not result in any abnormalities suggesting that SUP-9 may function redundantly with other TWK channels; SUP-9 is expressed in neurons and muscle."	Potassium Channel; TWK	sup-9	WBGene00006318	SUP-9;	 View Detail Edit Delete
9	SHK-1	"shk-1 encodes multiple isoforms of a SHAKER/Kv1 ortholog, which encodes voltage-gated potassium channels expressed in muscle; SHK-1 exhibits delayed rectifier currents and, in the absence of SHL-1, exhibits a significant compensatory increase in current; an SHK-1::GFP reporter fusion is expressed in a number of interneurons and sensory neurons, as well as in body wall muscle."	Potassium Channel; Voltage-gated: Shaker/Kv1	shk-1	WBGene00014261	"SHK-1, isoform a; SHK-1, isoform b; SHK-1, isoform c; SHK-1, isoform d; SHK-1, isoform e; SHK-1, isoform f; SHK-1, isoform g;"	 View Detail Edit Delete
10	LGC-34	Ligand-Gated ion Channel	Ligand-Gated Ion Channel; Diverse	lgc-34	WBGene00020836	LGC-34;	 View Detail Edit Delete
